Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,1.4189383,4.0,0.09566553,-0.005000000353902578,-0.005000000353902578,1.0
4000,1.4192629,4.0,0.061253995,-0.005000000353902578,-0.005000000353902578,1.0
6000,1.4172711,4.0,0.047965895,-0.005000000353902578,-0.005000000353902578,1.0
8000,1.4173926,4.0,0.017387474,-0.005000000353902578,-0.005000000353902578,1.0
10000,1.4178933,4.0,0.024605062,-0.005000000353902578,-0.005000000353902578,1.0
12000,1.415771,4.0,0.020832008,-0.005000000353902578,-0.005000000353902578,1.0
14000,1.4174286,4.0,0.0058808713,-0.005000000353902578,-0.005000000353902578,1.0
16000,1.420141,4.0,0.0016677048,-0.005000000353902578,-0.005000000353902578,1.0
18000,1.4183496,4.0,0.0040394515,-0.005000000353902578,-0.005000000353902578,1.0
20000,1.4170548,4.0,0.0007019864,-0.005000000353902578,-0.005000000353902578,1.0
22000,1.4181225,4.0,-0.0025714582,-0.005000000353902578,-0.005000000353902578,1.0
24000,1.4161513,4.0,-0.0026672143,-0.005000000353902578,-0.005000000353902578,1.0
26000,1.4128625,4.0,-0.0040545017,-0.005000000353902578,-0.005000000353902578,1.0
28000,1.4117041,4.0,-0.0062654447,-0.005000000353902578,-0.005000000353902578,1.0
30000,1.410197,4.0,-0.010808986,-0.005000000353902578,-0.005000000353902578,1.0
32000,1.4065771,4.0,-0.0033635632,-0.005000000353902578,-0.005000000353902578,1.0
34000,1.4040799,4.0,-0.0060994118,-0.005000000353902578,-0.005000000353902578,1.0
36000,1.4042046,4.0,-0.0072423457,-0.004250000236788764,-0.004250000236788764,1.0
38000,1.4064107,4.0,-0.0061290655,-0.005000000353902578,-0.005000000353902578,1.0
40000,1.4096346,4.0,-0.0075912727,-0.005000000353902578,-0.005000000353902578,1.0
42000,1.4112607,4.0,-0.0036216667,-0.005000000353902578,-0.005000000353902578,1.0
44000,1.4111031,4.0,-0.00640122,-0.005000000353902578,-0.005000000353902578,1.0
46000,1.4098483,4.0,-0.0077356147,-0.005000000353902578,-0.005000000353902578,1.0
48000,1.4081694,4.0,-0.004610047,-0.005000000353902578,-0.005000000353902578,1.0
50000,1.408074,4.0,0.0021664107,-0.005000000353902578,-0.005000000353902578,1.0
52000,1.4080707,4.0,-0.0029426054,-0.005000000353902578,-0.005000000353902578,1.0
54000,1.4083406,4.0,-0.0052093207,-0.005000000353902578,-0.005000000353902578,1.0
56000,1.4089282,4.0,-0.0047056284,-0.005000000353902578,-0.005000000353902578,1.0
58000,1.4083675,4.0,-0.0057267263,-0.005000000353902578,-0.005000000353902578,1.0
60000,1.4072292,4.0,-0.004082469,-0.005000000353902578,-0.005000000353902578,1.0
62000,1.406154,4.0,-0.0063134884,-0.005000000353902578,-0.005000000353902578,1.0
64000,1.4072133,4.0,-0.004458477,-0.005000000353902578,-0.005000000353902578,1.0
66000,1.4080086,4.0,-0.0049142195,-0.004250000236788764,-0.004250000236788764,1.0
68000,1.4060936,4.0,-0.0029279918,-0.005000000353902578,-0.005000000353902578,1.0
70000,1.4053549,4.0,-0.004250243,-0.004250000162282958,-0.004250000162282958,1.0
72000,1.4044355,4.0,-0.005485645,-0.005000000353902578,-0.005000000353902578,1.0
74000,1.4045568,4.0,-0.003967023,-0.005000000353902578,-0.005000000353902578,1.0
76000,1.4063104,4.0,-0.005106655,-0.005000000353902578,-0.005000000353902578,1.0
78000,1.4028753,4.0,-0.007569811,-0.005000000353902578,-0.005000000353902578,1.0
80000,1.4009883,4.0,-0.0031607435,-0.005000000353902578,-0.005000000353902578,1.0
82000,1.4012834,4.0,-0.0046795253,-0.005000000353902578,-0.005000000353902578,1.0
84000,1.400489,4.0,-0.003460803,-0.005000000353902578,-0.005000000353902578,1.0
86000,1.4012951,4.0,-0.0061845607,-0.005000000353902578,-0.005000000353902578,1.0
88000,1.4016504,4.0,-0.0061347084,-0.005000000353902578,-0.005000000353902578,1.0
90000,1.4015956,4.0,-0.0060030078,-0.005000000353902578,-0.005000000353902578,1.0
92000,1.4020542,4.0,-0.005970918,-0.004250000236788764,-0.004250000236788764,1.0
94000,1.4010181,4.0,-0.0047828816,-0.005000000353902578,-0.005000000353902578,1.0
96000,1.3996158,4.0,-0.006233818,-0.005000000353902578,-0.005000000353902578,1.0
98000,1.3990438,4.0,-0.0064286804,-0.005000000353902578,-0.005000000353902578,1.0
100000,1.3969291,4.0,-0.006518147,-0.005000000353902578,-0.005000000353902578,1.0
102000,1.3959044,4.0,-0.009139598,-0.005000000353902578,-0.005000000353902578,1.0
104000,1.3947828,4.0,-0.008734138,-0.005000000353902578,-0.005000000353902578,1.0
106000,1.3949854,4.0,-0.0060989107,-0.005000000353902578,-0.005000000353902578,1.0
108000,1.3949658,4.0,-0.008009981,-0.005000000353902578,-0.005000000353902578,1.0
110000,1.3942419,4.0,-0.0068220496,-0.004250000236788764,-0.004250000236788764,1.0
112000,1.3963057,4.0,-0.006770097,-0.004250000162282958,-0.004250000162282958,1.0
114000,1.3995557,4.0,-0.006006117,-0.004250000162282958,-0.004250000162282958,1.0
116000,1.40066,4.0,-0.009303238,-0.005000000353902578,-0.005000000353902578,1.0
118000,1.3995066,4.0,-0.007412655,-0.005000000353902578,-0.005000000353902578,1.0
120000,1.3979137,4.0,-0.0067190886,-0.005000000353902578,-0.005000000353902578,1.0
122000,1.3978862,4.0,-0.009022415,-0.005000000353902578,-0.005000000353902578,1.0
124000,1.3985709,4.0,-0.008503436,-0.005000000353902578,-0.005000000353902578,1.0
126000,1.3997791,4.0,-0.00816996,-0.005000000353902578,-0.005000000353902578,1.0
128000,1.4018204,4.0,-0.0069230627,-0.005000000353902578,-0.005000000353902578,1.0
130000,1.4026,4.0,-0.00864495,-0.005000000353902578,-0.005000000353902578,1.0
132000,1.4027585,4.0,-0.007900288,-0.005000000353902578,-0.005000000353902578,1.0
134000,1.4018525,4.0,-0.007148394,-0.005000000353902578,-0.005000000353902578,1.0
136000,1.4017305,4.0,-0.0077336216,-0.004250000162282958,-0.004250000162282958,1.0
138000,1.4009142,4.0,-0.00780638,-0.005000000353902578,-0.005000000353902578,1.0
140000,1.399832,4.0,-0.008547573,-0.005000000353902578,-0.005000000353902578,1.0
142000,1.3994243,4.0,-0.0071907816,-0.005000000353902578,-0.005000000353902578,1.0
144000,1.3983214,4.0,-0.0073121465,-0.005000000353902578,-0.005000000353902578,1.0
146000,1.3976138,4.0,-0.008900228,-0.005000000353902578,-0.005000000353902578,1.0
148000,1.3978055,4.0,-0.008544382,-0.005000000353902578,-0.005000000353902578,1.0
150000,1.3986111,4.0,-0.009019476,-0.005000000353902578,-0.005000000353902578,1.0
152000,1.399181,4.0,-0.008686683,-0.005000000353902578,-0.005000000353902578,1.0
154000,1.4004071,4.0,-0.010447702,-0.005000000353902578,-0.005000000353902578,1.0
156000,1.4010286,4.0,-0.008434718,-0.005000000353902578,-0.005000000353902578,1.0
158000,1.4014704,4.0,-0.0077998443,-0.005000000353902578,-0.005000000353902578,1.0
160000,1.398619,4.0,-0.0072928723,-0.005000000353902578,-0.005000000353902578,1.0
162000,1.397106,4.0,-0.008189298,-0.005000000353902578,-0.005000000353902578,1.0
164000,1.3958093,4.0,-0.008819604,-0.005000000353902578,-0.005000000353902578,1.0
166000,1.3960358,4.0,-0.009034259,-0.005000000353902578,-0.005000000353902578,1.0
168000,1.3948321,4.0,-0.009316144,-0.005000000353902578,-0.005000000353902578,1.0
170000,1.3935536,4.0,-0.007861225,-0.004250000236788764,-0.004250000236788764,1.0
172000,1.393042,4.0,-0.0075908876,-0.005000000353902578,-0.005000000353902578,1.0
174000,1.3918098,4.0,-0.00902024,-0.005000000353902578,-0.005000000353902578,1.0
176000,1.3903646,4.0,-0.008259028,-0.005000000353902578,-0.005000000353902578,1.0
178000,1.3907539,4.0,-0.009027524,-0.005000000353902578,-0.005000000353902578,1.0
180000,1.3909006,4.0,-0.00895181,-0.005000000353902578,-0.005000000353902578,1.0
182000,1.3910384,4.0,-0.008580642,-0.005000000353902578,-0.005000000353902578,1.0
184000,1.3921745,4.0,-0.0078047607,-0.004250000236788764,-0.004250000236788764,1.0
186000,1.3930783,4.0,-0.008068218,-0.005000000353902578,-0.005000000353902578,1.0
188000,1.3936015,4.0,-0.00941864,-0.005000000353902578,-0.005000000353902578,1.0
190000,1.3932426,4.0,-0.00928864,-0.004250000236788764,-0.004250000236788764,1.0
192000,1.3922733,4.0,-0.009176558,-0.005000000353902578,-0.005000000353902578,1.0
194000,1.3922467,4.0,-0.008196518,-0.005000000353902578,-0.005000000353902578,1.0
196000,1.3925148,4.0,-0.009055726,-0.005000000353902578,-0.005000000353902578,1.0
198000,1.392561,4.0,-0.008878437,-0.005000000353902578,-0.005000000353902578,1.0
200000,1.3930382,4.0,-0.008843805,-0.005000000353902578,-0.005000000353902578,1.0
202000,1.39394,4.0,-0.0090207495,-0.005000000353902578,-0.005000000353902578,1.0
204000,1.3942702,4.0,-0.009234106,-0.005000000353902578,-0.005000000353902578,1.0
206000,1.3937974,4.0,-0.008619508,-0.004250000236788764,-0.004250000236788764,1.0
208000,1.3932227,4.0,-0.008462297,-0.004250000236788764,-0.004250000236788764,1.0
210000,1.3925817,4.0,-0.0077077537,-0.005000000353902578,-0.005000000353902578,1.0
212000,1.3918782,4.0,-0.0083360765,-0.005000000353902578,-0.005000000353902578,1.0
214000,1.391568,4.0,-0.00861929,-0.005000000353902578,-0.005000000353902578,1.0
216000,1.3915501,4.0,-0.0090082595,-0.005000000353902578,-0.005000000353902578,1.0
218000,1.3913742,4.0,-0.008872127,-0.005000000353902578,-0.005000000353902578,1.0
220000,1.3917841,4.0,-0.009153242,-0.005000000353902578,-0.005000000353902578,1.0
222000,1.3918695,4.0,-0.008396167,-0.004250000162282958,-0.004250000162282958,1.0
224000,1.3917685,4.0,-0.008694009,-0.004250000162282958,-0.004250000162282958,1.0
226000,1.3916763,4.0,-0.00946274,-0.004250000236788764,-0.004250000236788764,1.0
228000,1.3923229,4.0,-0.007831088,-0.005000000353902578,-0.005000000353902578,1.0
230000,1.3932933,4.0,-0.008854258,-0.005000000353902578,-0.005000000353902578,1.0
232000,1.3936495,4.0,-0.009258843,-0.005000000353902578,-0.005000000353902578,1.0
234000,1.3943914,4.0,-0.008102135,-0.005000000353902578,-0.005000000353902578,1.0
236000,1.3944365,4.0,-0.00864693,-0.005000000353902578,-0.005000000353902578,1.0
238000,1.3949516,4.0,-0.008650014,-0.005000000353902578,-0.005000000353902578,1.0
240000,1.3951524,4.0,-0.009485055,-0.005000000353902578,-0.005000000353902578,1.0
242000,1.3951987,4.0,-0.008830339,-0.005000000353902578,-0.005000000353902578,1.0
244000,1.3954015,4.0,-0.008403715,-0.005000000353902578,-0.005000000353902578,1.0
246000,1.3952428,4.0,-0.009675858,-0.005000000353902578,-0.005000000353902578,1.0
248000,1.3953847,4.0,-0.009344406,-0.005000000353902578,-0.005000000353902578,1.0
250000,1.3948513,4.0,-0.008921747,-0.005000000353902578,-0.005000000353902578,1.0
252000,1.3942462,4.0,-0.009254153,-0.005000000353902578,-0.005000000353902578,1.0
254000,1.3933327,4.0,-0.009269744,-0.005000000353902578,-0.005000000353902578,1.0
256000,1.3927376,4.0,-0.009013185,-0.005000000353902578,-0.005000000353902578,1.0
258000,1.3924639,4.0,-0.009202046,-0.005000000353902578,-0.005000000353902578,1.0
260000,1.3921801,4.0,-0.009083662,-0.005000000353902578,-0.005000000353902578,1.0
262000,1.3918924,4.0,-0.009559363,-0.005000000353902578,-0.005000000353902578,1.0
264000,1.3918056,4.0,-0.009280046,-0.005000000353902578,-0.005000000353902578,1.0
266000,1.3919537,4.0,-0.009520653,-0.005000000353902578,-0.005000000353902578,1.0
268000,1.3919394,4.0,-0.009468785,-0.005000000353902578,-0.005000000353902578,1.0
270000,1.3919935,4.0,-0.009239985,-0.005000000353902578,-0.005000000353902578,1.0
272000,1.3919092,4.0,-0.01012559,-0.005000000353902578,-0.005000000353902578,1.0
274000,1.3918546,4.0,-0.009448389,-0.005000000353902578,-0.005000000353902578,1.0
276000,1.3918678,4.0,-0.009357963,-0.005000000353902578,-0.005000000353902578,1.0
278000,1.3919164,4.0,-0.009062504,-0.005000000353902578,-0.005000000353902578,1.0
280000,1.3919544,4.0,-0.009227842,-0.005000000353902578,-0.005000000353902578,1.0
282000,1.3919774,4.0,-0.009143605,-0.005000000353902578,-0.005000000353902578,1.0
284000,1.3919529,4.0,-0.00940485,-0.005000000353902578,-0.005000000353902578,1.0
286000,1.3917907,4.0,-0.00915231,-0.005000000353902578,-0.005000000353902578,1.0
288000,1.3916347,4.0,-0.009557518,-0.005000000353902578,-0.005000000353902578,1.0
290000,1.391568,4.0,-0.009969945,-0.005000000353902578,-0.005000000353902578,1.0
292000,1.3915387,4.0,-0.009100952,-0.005000000353902578,-0.005000000353902578,1.0
294000,1.3915886,4.0,-0.008867682,-0.005000000353902578,-0.005000000353902578,1.0
296000,1.3916394,4.0,-0.009320583,-0.004250000162282958,-0.004250000162282958,1.0
298000,1.3916597,4.0,-0.009749603,-0.005000000353902578,-0.005000000353902578,1.0
300000,1.3916405,4.0,-0.008802994,-0.004250000236788764,-0.004250000236788764,1.0
