Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
450000,1.4344854,-0.031732656,0.005890291,0.06663367,7.642508e-05,0.12547499,0.0012812024,662.7272727272727,-1.663727351210334,-1.663727351210334,1.0
456000,1.43381,-0.03295246,0.0058288085,0.06800722,7.3270254e-05,0.124423385,0.0012287269,580.5714285714286,-1.2244286185928754,-1.2244286185928754,1.0
462000,1.4330596,-0.047301378,0.0075739287,0.07037189,7.011875e-05,0.12337289,0.0011763071,470.2,-1.3712000571191312,-1.3712000571191312,1.0
468000,1.4332684,-0.022809349,0.0051326165,0.07358828,6.7523826e-05,0.122507915,0.0011331448,496.3333333333333,-1.2473333862920601,-1.2473333862920601,1.0
474000,1.4331279,-0.018714242,0.006561577,0.069742166,6.490492e-05,0.12163495,0.0010895837,633.625,-1.2596250409260392,-1.2596250409260392,1.0
480000,1.4331678,-0.031483304,0.0030454195,0.064979695,6.176458e-05,0.120588176,0.0010373495,773.4,-1.7744000762701035,-1.7744000762701035,1.0
486000,1.4339534,-0.04165729,0.0073106377,0.06410542,5.8631413e-05,0.11954377,0.0009852344,477.92857142857144,-1.4075000541550773,-1.4075000541550773,1.0
492000,1.434217,-0.028734716,0.007501881,0.06970359,5.550109e-05,0.11850033,0.0009331666,495.54545454545456,-1.1329091225158086,-1.1329091225158086,1.0
498000,1.4340733,-0.03302769,0.003070352,0.06143896,5.237425e-05,0.11745805,0.00088115694,386.7142857142857,-1.2448572122624941,-1.2448572122624941,1.0
504000,1.4342698,-0.030593162,0.00639645,0.05700742,4.924058e-05,0.116413504,0.00082903355,875.1111111111111,-1.465800029784441,-1.465800029784441,1.0
510000,1.4348696,-0.03388332,0.006358514,0.0689753,4.6118254e-05,0.115372725,0.0007770989,491.0,-1.2677500539769728,-1.2677500539769728,1.0
516000,1.4348775,-0.030888744,0.0053481357,0.077162154,4.3494332e-05,0.114498086,0.00073345425,532.9,-1.5020000717856667,-1.5020000717856667,1.0
522000,1.4350631,-0.029297939,0.004076962,0.07124004,4.0857587e-05,0.11361917,0.0006895964,601.6153846153846,-1.5256923884153366,-1.5256923884153366,1.0
528000,1.4347712,-0.023994466,0.006167878,0.07042039,3.7683258e-05,0.112561055,0.00063679664,283.6,-1.0846000388264656,-1.0846000388264656,1.0
534000,1.4346876,-0.024420468,0.0040679174,0.0664708,3.4539746e-05,0.11151322,0.0005845097,592.0,-1.3707778288258448,-1.3707778288258448,1.0
540000,1.4346249,-0.0306128,0.007024164,0.06952172,3.1384752e-05,0.110461555,0.0005320316,713.3846153846154,-1.4066923873928876,-1.4066923873928876,1.0
546000,1.4352139,-0.037514675,0.0063062883,0.06786931,2.8261253e-05,0.10942038,0.00048007726,634.3,-1.4353000544011594,-1.4353000544011594,1.0
552000,1.4355589,-0.023023902,0.0051043816,0.061259016,2.514026e-05,0.10838005,0.00042816473,539.0,-1.165000039152801,-1.165000039152801,1.0
558000,1.4362748,-0.026671698,0.004406414,0.07623202,2.2542845e-05,0.10751425,0.00038496108,836.9,-1.2379000246524812,-1.2379000246524812,1.0
564000,1.4365063,-0.029164268,0.0068569016,0.06190307,1.9950265e-05,0.10665006,0.0003418378,502.44444444444446,-1.059000029332108,-1.059000029332108,1.0
570000,1.4364449,-0.030630557,0.006693375,0.06831536,1.6848093e-05,0.105616,0.00029023833,341.61538461538464,-1.188769287787951,-1.188769287787951,1.0
576000,1.4365647,-0.029985875,0.005878853,0.06781348,1.37119305e-05,0.10457062,0.00023807348,649.3636363636364,-1.3776364062320103,-1.3776364062320103,1.0
582000,1.4363842,-0.031014865,0.005035429,0.06973582,1.0606768e-05,0.103535555,0.00018642428,442.7,-1.44370005056262,-1.44370005056262,1.0
588000,1.4362851,-0.037827436,0.0061163804,0.06906212,7.4859345e-06,0.10249528,0.00013451441,689.6666666666666,-1.607333396251003,-1.607333396251003,1.0
594000,1.4363341,-0.025672894,0.0051794234,0.075894214,4.3584323e-06,0.101452775,8.249361e-05,568.8,-1.4698000460863114,-1.4698000460863114,1.0
600000,1.4363555,-0.01584962,0.0034279805,0.07098242,1.2275977e-06,0.10040917,3.0417383e-05,797.75,-1.548750076442957,-1.548750076442957,1.0
