Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189383,4.0,-0.19840433,-0.005000000353902578,-0.005000000353902578,1.0
2000,1.4189383,4.0,-0.21318047,-0.005000000353902578,-0.005000000353902578,1.0
3000,1.4189548,4.0,-0.16477615,-0.005000000353902578,-0.005000000353902578,1.0
4000,1.4189627,4.0,-0.15714358,-0.005000000353902578,-0.005000000353902578,1.0
5000,1.4174496,4.0,-0.11539118,-0.005000000353902578,-0.005000000353902578,1.0
6000,1.4170088,4.0,-0.1259594,-0.005000000353902578,-0.005000000353902578,1.0
7000,1.4177942,4.0,-0.079661444,-0.005000000353902578,-0.005000000353902578,1.0
8000,1.4181443,4.0,-0.088179246,-0.005000000353902578,-0.005000000353902578,1.0
9000,1.416862,4.0,-0.07575542,-0.005000000353902578,-0.005000000353902578,1.0
10000,1.4161872,4.0,-0.073267326,-0.005000000353902578,-0.005000000353902578,1.0
11000,1.4150825,4.0,-0.056189746,-0.005000000353902578,-0.005000000353902578,1.0
12000,1.4144477,4.0,-0.044581696,-0.005000000353902578,-0.005000000353902578,1.0
13000,1.4121507,4.0,-0.03373228,-0.005000000353902578,-0.005000000353902578,1.0
14000,1.4104044,4.0,-0.044230253,-0.005000000353902578,-0.005000000353902578,1.0
15000,1.4089202,4.0,-0.036021706,-0.005000000353902578,-0.005000000353902578,1.0
16000,1.4076539,4.0,-0.03508653,-0.005000000353902578,-0.005000000353902578,1.0
17000,1.4053408,4.0,-0.0345012,-0.005000000353902578,-0.005000000353902578,1.0
18000,1.402793,4.0,-0.008590429,-0.005000000353902578,-0.005000000353902578,1.0
19000,1.4014261,4.0,-0.010045805,-0.005000000353902578,-0.005000000353902578,1.0
20000,1.3996335,4.0,-0.005837717,-0.005000000353902578,-0.005000000353902578,1.0
21000,1.3981297,4.0,0.002384128,-0.005000000353902578,-0.005000000353902578,1.0
22000,1.3956851,4.0,0.008105265,-0.005000000353902578,-0.005000000353902578,1.0
23000,1.3953761,4.0,0.013676937,-0.005000000353902578,-0.005000000353902578,1.0
24000,1.3946922,4.0,0.012412833,-0.005000000353902578,-0.005000000353902578,1.0
25000,1.3936131,4.0,0.011931713,-0.005000000353902578,-0.005000000353902578,1.0
26000,1.3907127,4.0,0.013335661,-0.005000000353902578,-0.005000000353902578,1.0
27000,1.3894603,4.0,0.016101368,-0.005000000353902578,-0.005000000353902578,1.0
28000,1.3852166,4.0,0.011134121,-0.005000000353902578,-0.005000000353902578,1.0
29000,1.3845212,4.0,0.016402261,-0.005000000353902578,-0.005000000353902578,1.0
30000,1.3814882,4.0,0.017126108,-0.005000000353902578,-0.005000000353902578,1.0
31000,1.3812733,4.0,0.014394768,-0.005000000353902578,-0.005000000353902578,1.0
32000,1.3796197,4.0,0.01675536,-0.005000000353902578,-0.005000000353902578,1.0
33000,1.3792098,4.0,0.006235782,-0.005000000353902578,-0.005000000353902578,1.0
34000,1.3743266,4.0,0.012607344,-0.005000000353902578,-0.005000000353902578,1.0
35000,1.3740417,4.0,0.012374652,-0.005000000353902578,-0.005000000353902578,1.0
36000,1.3691019,4.0,0.0019311213,-0.005000000353902578,-0.005000000353902578,1.0
37000,1.3688655,4.0,0.004621627,-0.005000000353902578,-0.005000000353902578,1.0
38000,1.364084,4.0,0.0023025705,-0.005000000353902578,-0.005000000353902578,1.0
39000,1.3639722,4.0,0.0012115679,-3.2829120755195616e-10,-3.2829120755195616e-10,1.0
40000,1.3603189,4.0,-0.0057020662,-0.005000000353902578,-0.005000000353902578,1.0
41000,1.3603188,4.0,-0.0062012887,-0.005000000353902578,-0.005000000353902578,1.0
42000,1.358359,4.0,-0.00092041283,-0.005000000353902578,-0.005000000353902578,1.0
43000,1.358118,4.0,-0.0020596192,-0.005000000353902578,-0.005000000353902578,1.0
44000,1.3547648,4.0,-0.0104635265,-0.005000000353902578,-0.005000000353902578,1.0
45000,1.3539945,4.0,-0.00792822,-0.005000000353902578,-0.005000000353902578,1.0
46000,1.3513396,4.0,-0.011412456,-0.005000000353902578,-0.005000000353902578,1.0
47000,1.3505955,4.0,-0.013060889,-0.005000000353902578,-0.005000000353902578,1.0
48000,1.3462387,4.0,-0.015185789,-0.005000000353902578,-0.005000000353902578,1.0
49000,1.3446006,4.0,-0.011789985,-0.005000000353902578,-0.005000000353902578,1.0
50000,1.3426191,4.0,-0.005720457,-0.005000000353902578,-0.005000000353902578,1.0
51000,1.3417352,4.0,-0.009184221,-0.005000000353902578,-0.005000000353902578,1.0
52000,1.340348,4.0,-0.009248984,-0.005000000353902578,-0.005000000353902578,1.0
53000,1.3395594,4.0,-0.017660841,-0.005000000353902578,-0.005000000353902578,1.0
54000,1.3377204,4.0,-0.018449945,-0.005000000353902578,-0.005000000353902578,1.0
55000,1.3363682,4.0,-0.008937028,-0.005000000353902578,-0.005000000353902578,1.0
56000,1.3338897,4.0,-0.012134672,-0.005000000353902578,-0.005000000353902578,1.0
57000,1.3316123,4.0,-0.016711839,-0.005000000353902578,-0.005000000353902578,1.0
