Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,1.4189383,4.0,-0.5482663,-0.005000000353902578,-0.005000000353902578,1.0
4000,1.4169248,4.0,-0.45411542,-0.005000000353902578,-0.005000000353902578,1.0
6000,1.4129378,4.0,-0.3822245,-0.005000000353902578,-0.005000000353902578,1.0
8000,1.4036424,4.0,-0.20924419,-0.005000000353902578,-0.005000000353902578,1.0
10000,1.3971386,4.0,-0.149478,-0.005000000353902578,-0.005000000353902578,1.0
12000,1.3908676,4.0,-0.065163314,-0.005000000353902578,-0.005000000353902578,1.0
14000,1.3873823,4.0,-0.07176192,-0.005000000353902578,-0.005000000353902578,1.0
16000,1.3819051,4.0,-0.04820548,-0.005000000353902578,-0.005000000353902578,1.0
18000,1.3749964,4.0,-0.046983533,-0.005000000353902578,-0.005000000353902578,1.0
20000,1.3671784,4.0,-0.00039326667,-0.005000000353902578,-0.005000000353902578,1.0
22000,1.359843,4.0,-0.000606816,-0.005000000353902578,-0.005000000353902578,1.0
24000,1.3516777,4.0,0.019008767,-0.005000000353902578,-0.005000000353902578,1.0
26000,1.3435575,4.0,0.025153944,-0.002500000192085281,-0.002500000192085281,1.0
28000,1.336518,4.0,0.023589592,-0.005000000353902578,-0.005000000353902578,1.0
30000,1.3290414,4.0,0.016716853,-0.005000000353902578,-0.005000000353902578,1.0
32000,1.3206853,4.0,0.023711503,-0.005000000353902578,-0.005000000353902578,1.0
34000,1.3108801,4.0,0.027334208,-0.005000000353902578,-0.005000000353902578,1.0
36000,1.3013476,4.0,0.035695914,-0.005000000353902578,-0.005000000353902578,1.0
38000,1.29356,4.0,0.035337023,-0.005000000353902578,-0.005000000353902578,1.0
40000,1.2852718,4.0,0.036648262,-0.005000000353902578,-0.005000000353902578,1.0
42000,1.2765038,4.0,0.038405567,-0.005000000353902578,-0.005000000353902578,1.0
44000,1.2701328,4.0,0.016418755,-0.005000000353902578,-0.005000000353902578,1.0
46000,1.2645485,4.0,0.03266551,-0.005000000353902578,-0.005000000353902578,1.0
48000,1.2573346,4.0,0.034126867,-0.005000000353902578,-0.005000000353902578,1.0
50000,1.2493365,4.0,0.028698519,-0.005000000353902578,-0.005000000353902578,1.0
52000,1.2406449,4.0,0.028148172,-0.005000000353902578,-0.005000000353902578,1.0
54000,1.2318438,4.0,0.018020084,-0.005000000353902578,-0.005000000353902578,1.0
56000,1.2247701,4.0,0.015772682,-0.005000000353902578,-0.005000000353902578,1.0
58000,1.2175994,4.0,0.01094755,-0.005000000353902578,-0.005000000353902578,1.0
60000,1.210295,4.0,0.008441396,-0.005000000353902578,-0.005000000353902578,1.0
62000,1.2037228,4.0,0.008079833,-0.002500000341096893,-0.002500000341096893,1.0
64000,1.1970451,4.0,0.01091109,-0.005000000353902578,-0.005000000353902578,1.0
66000,1.1906518,4.0,0.014509786,-0.005000000353902578,-0.005000000353902578,1.0
68000,1.1847006,4.0,0.010884363,-0.005000000353902578,-0.005000000353902578,1.0
70000,1.178231,4.0,0.009407577,-0.005000000353902578,-0.005000000353902578,1.0
72000,1.1707469,4.0,0.0056004017,-0.005000000353902578,-0.005000000353902578,1.0
74000,1.1656806,4.0,0.010981224,-0.005000000353902578,-0.005000000353902578,1.0
76000,1.1591377,4.0,0.008230417,-0.005000000353902578,-0.005000000353902578,1.0
78000,1.1518153,4.0,0.0070390147,-0.005000000353902578,-0.005000000353902578,1.0
80000,1.1461836,4.0,0.008947879,-0.005000000353902578,-0.005000000353902578,1.0
82000,1.1394215,4.0,0.0071065133,-0.005000000353902578,-0.005000000353902578,1.0
84000,1.1325313,4.0,0.0081184,-0.005000000353902578,-0.005000000353902578,1.0
86000,1.126524,4.0,0.004109346,-0.005000000353902578,-0.005000000353902578,1.0
88000,1.1189933,4.0,0.0020440212,-0.005000000353902578,-0.005000000353902578,1.0
90000,1.1127906,4.0,0.00030617625,-0.005000000353902578,-0.005000000353902578,1.0
92000,1.109163,4.0,0.0037079202,-0.005000000353902578,-0.005000000353902578,1.0
94000,1.1040385,4.0,0.0010848206,-0.005000000353902578,-0.005000000353902578,1.0
96000,1.0986238,4.0,-0.0005833033,-0.005000000353902578,-0.005000000353902578,1.0
