Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
92000,-0.03510878,1.4144554,186.0,-1.1870000213384628,-1.1870000213384628,1.0
93000,0.00863995,1.4144491,1007.0,None,None,1.0
94000,-0.009473244,1.4147723,None,-2.0080001428723335,-2.0080001428723335,1.0
95000,-0.018407341,1.4147722,927.0,-1.8800001367926598,-1.8800001367926598,1.0
96000,-0.047444545,1.4155867,785.6666666666666,-1.8340000752359629,-1.8340000752359629,1.0
97000,-0.016138712,1.4157959,742.3333333333334,-1.743333416680495,-1.743333416680495,1.0
98000,-0.005457295,1.4152597,554.25,-1.3052500486373901,-1.3052500486373901,1.0
99000,-0.015848916,1.4151298,241.0,-1.2420000806450844,-1.2420000806450844,1.0
100000,-0.0007216225,1.4158497,None,None,None,1.0
101000,-0.017377635,1.4160507,None,None,None,1.0
102000,-0.03440798,1.417118,395.0,-1.3960001021623611,-1.3960001021623611,1.0
103000,-0.10599918,1.4179076,1674.0,-2.6750001162290573,-2.6750001162290573,1.0
104000,-0.09106924,1.4181578,544.0,-1.4973333925008774,-1.4973333925008774,1.0
105000,-0.06291501,1.4184792,230.0,-1.4595000855624676,-1.4595000855624676,1.0
106000,-0.040978752,1.4188086,466.0,-0.9670000188052654,-0.9670000188052654,1.0
107000,0.002978935,1.4191254,None,None,None,1.0
108000,-0.0009364635,1.418751,None,None,None,1.0
109000,-0.052455675,1.4183527,851.3333333333334,-1.5190000608563423,-1.5190000608563423,1.0
110000,-0.03164338,1.4181576,712.6666666666666,-1.7136667569478352,-1.7136667569478352,1.0
111000,-0.009822824,1.417489,693.0,-1.6940000504255295,-1.6940000504255295,1.0
112000,-0.04070528,1.4169407,857.0,-1.858000062406063,-1.858000062406063,1.0
113000,-0.03574413,1.415263,689.0,-1.6900001019239426,-1.6900001019239426,1.0
114000,-0.02829745,1.4153953,1834.0,-1.8350000753998756,-1.8350000753998756,1.0
115000,-0.024729129,1.4170792,378.0,-1.3790000304579735,-1.3790000304579735,1.0
116000,-0.046618026,1.417284,586.3333333333334,-1.587333415945371,-1.587333415945371,1.0
117000,-0.04961421,1.4183973,763.0,-1.764000091701746,-1.764000091701746,1.0
118000,-0.008975668,1.4183972,769.0,-1.7700001299381256,-1.7700001299381256,1.0
119000,-0.024326796,1.4184787,420.0,-0.9210000522434711,-0.9210000522434711,1.0
120000,-0.018020019,1.4184846,705.0,-0.7060000151395798,-0.7060000151395798,1.0
121000,-0.030025067,1.4181906,578.6666666666666,-1.107000082731247,-1.107000082731247,1.0
122000,-0.033508915,1.4181166,457.5,-1.4806667044758797,-1.4806667044758797,1.0
123000,-0.02680851,1.4170282,None,None,None,1.0
124000,-0.058259647,1.4165436,585.0,-1.5860000774264336,-1.5860000774264336,1.0
125000,-0.023996674,1.4154899,746.0,-1.7470001354813576,-1.7470001354813576,1.0
126000,-0.0011257147,1.41484,207.0,-1.2080000415444374,-1.2080000415444374,1.0
127000,-0.012537567,1.4149015,299.5,-1.3005000613629818,-1.3005000613629818,1.0
128000,-0.033443443,1.4150827,361.5,-1.3625000342726707,-1.3625000342726707,1.0
129000,-0.04109273,1.4158025,598.5,-1.1540000289678574,-1.1540000289678574,1.0
130000,-0.047330704,1.4168218,531.3333333333334,-1.1605000086128712,-1.1605000086128712,1.0
131000,0.001475424,1.4169612,762.0,-1.7630001045763493,-1.7630001045763493,1.0
132000,0.015924957,1.4172382,1096.0,-2.097000114619732,-2.097000114619732,1.0
133000,0.017193,1.4174868,None,None,None,1.0
134000,-0.015240683,1.4182953,1919.0,-0.919999934732914,-0.919999934732914,1.0
135000,-0.0039623673,1.4183086,481.0,-1.4820000603795052,-1.4820000603795052,1.0
136000,-0.038182825,1.4183136,620.5,-1.6215000674128532,-1.6215000674128532,1.0
137000,-0.052605804,1.4183675,563.3333333333334,-1.5643334165215492,-1.5643334165215492,1.0
138000,-0.030122077,1.4187298,417.6666666666667,-1.4186667551596959,-1.4186667551596959,1.0
139000,-0.03179393,1.4187223,630.5,-1.6315000541508198,-1.6315000541508198,1.0
140000,-0.015300181,1.4187056,488.0,-0.4889999181032181,-0.4889999181032181,1.0
141000,-0.0072073233,1.4186519,337.0,-1.3380000218749046,-1.3380000218749046,1.0
142000,-0.008925945,1.4184797,None,None,None,1.0
143000,-0.022437941,1.418479,562.0,-1.5630000233650208,-1.5630000233650208,1.0
144000,-0.01700937,1.4185848,None,None,None,1.0
145000,-0.048432708,1.4185848,739.0,-1.7400000467896461,-1.7400000467896461,1.0
146000,-0.058653872,1.4186233,767.3333333333334,-1.435000057021777,-1.435000057021777,1.0
147000,-0.05889373,1.4185964,774.0,-1.775000125169754,-1.775000125169754,1.0
148000,-0.008623693,1.4182096,None,None,None,1.0
149000,-0.0049309116,1.418062,None,None,None,1.0
150000,0.00026627706,1.4182719,None,None,None,1.0
151000,-0.0007979353,1.418375,None,None,None,1.0
152000,-0.008720041,1.4182235,555.0,-1.5560000538825989,-1.5560000538825989,1.0
153000,-0.027338931,1.4180126,726.0,-1.7270000353455544,-1.7270000353455544,1.0
154000,-0.019197416,1.4175088,None,None,None,1.0
155000,-0.067346446,1.4168141,1047.0,-2.0480000972747803,-2.0480000972747803,1.0
156000,-0.074985646,1.4174968,2180.0,-2.89350014179945,-2.89350014179945,1.0
157000,-0.010787828,1.4186561,1135.0,-2.1360001489520073,-2.1360001489520073,1.0
158000,-0.0038290434,1.4189932,187.0,-1.1880000680685043,-1.1880000680685043,1.0
159000,0.015654963,1.419529,291.0,-1.292000025510788,-1.292000025510788,1.0
160000,-0.044784375,1.4197817,515.0,-1.5160000920295715,-1.5160000920295715,1.0
161000,-0.03932418,1.4207292,767.0,-0.767999991774559,-0.767999991774559,1.0
162000,-0.061619774,1.4208748,1501.0,-2.002000045031309,-2.002000045031309,1.0
163000,-0.06545837,1.4215658,601.0,-1.6020000502467155,-1.6020000502467155,1.0
164000,-0.08218278,1.4214896,465.25,-1.2162500135600567,-1.2162500135600567,1.0
165000,-0.030724144,1.4208748,438.3333333333333,-1.1060000211000443,-1.1060000211000443,1.0
166000,0.004166431,1.4209175,519.0,-1.5200000405311584,-1.5200000405311584,1.0
167000,0.014702367,1.4212132,None,None,None,1.0
168000,0.0038364225,1.4210057,434.0,-1.435000017285347,-1.435000017285347,1.0
169000,-0.0042535854,1.418599,None,None,None,1.0
170000,-0.038524278,1.4185991,1125.0,-2.126000039279461,-2.126000039279461,1.0
171000,-0.026389204,1.4189959,551.0,-1.5520000457763672,-1.5520000457763672,1.0
172000,-0.030083612,1.4191861,None,None,None,1.0
173000,-0.037407238,1.4192512,726.0,-1.7270000353455544,-1.7270000353455544,1.0
174000,-0.054825276,1.4192269,856.0,-1.52366670469443,-1.52366670469443,1.0
175000,-0.02241842,1.4194679,987.0,-1.9880000427365303,-1.9880000427365303,1.0
176000,-0.021316895,1.4196985,1360.0,-2.361000142991543,-2.361000142991543,1.0
177000,-0.012452539,1.4199998,649.0,-1.6500000208616257,-1.6500000208616257,1.0
178000,-0.001058498,1.4205384,None,None,None,1.0
179000,-0.006008054,1.4203906,None,None,None,1.0
180000,-0.03226956,1.4200675,891.3333333333334,-1.6155000887811184,-1.6155000887811184,1.0
181000,-0.043773342,1.4197941,728.0,-1.3013334199786186,-1.3013334199786186,1.0
182000,-0.030323848,1.4192094,None,None,None,1.0
183000,-0.067043595,1.4190737,735.0,-1.7360000386834145,-1.7360000386834145,1.0
184000,-0.07207849,1.4186255,614.0,-1.6150001212954521,-1.6150001212954521,1.0
185000,-0.07799569,1.4185598,874.0,-1.8750000993410747,-1.8750000993410747,1.0
186000,-0.052599173,1.4181316,555.0,-1.5560000538825989,-1.5560000538825989,1.0
187000,-0.049297597,1.4181919,549.25,-0.9473333482940992,-0.9473333482940992,1.0
188000,-0.017673269,1.4188957,None,-2.3590001687407494,-2.3590001687407494,1.0
189000,-0.0068640285,1.4189793,458.0,-1.4590000621974468,-1.4590000621974468,1.0
190000,0.006715472,1.4199027,None,None,None,1.0
191000,-0.0055508153,1.4199026,661.0,-1.6620001047849655,-1.6620001047849655,1.0
192000,-0.009865154,1.4197078,None,None,None,1.0
193000,-0.025527125,1.4196349,1245.5,-2.246500112116337,-2.246500112116337,1.0
194000,-0.025020152,1.4197636,589.0,-1.5900000855326653,-1.5900000855326653,1.0
195000,-0.035564408,1.419833,1250.0,-2.2510001435875893,-2.2510001435875893,1.0
196000,-0.039514724,1.41983,630.6666666666666,-1.631666749715805,-1.631666749715805,1.0
197000,-0.041072816,1.4198292,579.0,-1.0800000689923763,-1.0800000689923763,1.0
198000,-0.004650362,1.4205221,None,None,None,1.0
199000,-0.04534572,1.421067,722.3333333333334,-1.0566666771968205,-1.0566666771968205,1.0
200000,-0.027321775,1.4211098,875.5,-2.2790001407265663,-2.2790001407265663,1.0
201000,-0.008202945,1.4211076,None,-1.4740000441670418,-1.4740000441670418,1.0
202000,-0.0043597487,1.4213465,180.0,-1.1810000985860825,-1.1810000985860825,1.0
203000,-0.011720257,1.4219049,None,None,None,1.0
204000,-0.023612576,1.4223169,712.5,-1.7135001234710217,-1.7135001234710217,1.0
205000,-0.03114401,1.4229717,1064.0,-2.065000057220459,-2.065000057220459,1.0
206000,-0.04533763,1.423063,921.75,-1.672750087454915,-1.672750087454915,1.0
207000,-0.020476311,1.4233584,None,None,None,1.0
208000,-0.030458745,1.4233203,None,None,None,1.0
209000,-0.05956331,1.4231684,376.0,-1.3770001120865345,-1.3770001120865345,1.0
210000,-0.046170536,1.4230386,328.0,-0.32899996638298035,-0.32899996638298035,1.0
211000,-0.016819643,1.4221994,667.0,-1.4180000312626362,-1.4180000312626362,1.0
212000,-0.024605406,1.4221745,595.5,-1.8240001499652863,-1.8240001499652863,1.0
213000,-0.025506616,1.4221096,None,-1.3690000399947166,-1.3690000399947166,1.0
214000,-0.041477945,1.4221349,461.6666666666667,-0.9919999912381172,-0.9919999912381172,1.0
215000,-0.008938664,1.4222889,None,-1.4040001183748245,-1.4040001183748245,1.0
216000,-0.008798444,1.422289,None,None,None,1.0
217000,-0.015191263,1.4216175,1237.0,-0.23799996823072433,-0.23799996823072433,1.0
218000,-0.037165605,1.421447,2001.0,None,None,1.0
219000,-0.07618839,1.4214554,633.4,-1.1956666794915993,-1.1956666794915993,1.0
220000,-0.024671288,1.4214855,507.0,-1.5080000832676888,-1.5080000832676888,1.0
221000,-0.019776868,1.4211525,993.0,-0.9939999729394913,-0.9939999729394913,1.0
222000,-0.022616208,1.4210018,238.0,-1.2390000596642494,-1.2390000596642494,1.0
223000,-0.005296386,1.4203157,260.0,-1.261000070720911,-1.261000070720911,1.0
224000,0.0015179602,1.4200565,None,None,None,1.0
225000,-0.052710205,1.4201026,445.0,-0.9460000246763229,-0.9460000246763229,1.0
226000,-0.024258351,1.4202112,666.0,-1.667000100016594,-1.667000100016594,1.0
227000,-0.021224253,1.4203237,1171.0,-2.172000154852867,-2.172000154852867,1.0
228000,-0.00268237,1.4204565,561.0,-1.5620000958442688,-1.5620000958442688,1.0
229000,0.005795406,1.4205118,355.0,None,None,1.0
230000,-0.0068813497,1.4206219,None,-1.3560000285506248,-1.3560000285506248,1.0
231000,0.00930294,1.4206331,177.0,-1.1780000776052475,-1.1780000776052475,1.0
232000,-0.0065143267,1.4207743,None,None,None,1.0
233000,-0.010998543,1.4208062,None,None,None,1.0
234000,-0.024201946,1.4210378,1272.5,-1.77350003272295,-1.77350003272295,1.0
235000,-0.035422858,1.4210507,811.5,-1.8125000856816769,-1.8125000856816769,1.0
236000,-0.039355047,1.4211134,1740.0,-2.7410000935196877,-2.7410000935196877,1.0
237000,-0.04726813,1.4211444,550.0,-1.5510000586509705,-1.5510000586509705,1.0
238000,-0.040718883,1.4214474,1231.0,-2.2320000901818275,-2.2320000901818275,1.0
239000,-0.010917595,1.4214474,None,None,None,1.0
240000,-0.04642418,1.4213904,1394.5,-2.3955001421272755,-2.3955001421272755,1.0
241000,-0.032139722,1.4213698,1764.5,-2.265500111505389,-2.265500111505389,1.0
242000,-0.01118678,1.4211841,599.0,-1.600000075995922,-1.600000075995922,1.0
243000,-0.02866826,1.4211341,178.0,-1.1790000051259995,-1.1790000051259995,1.0
244000,-0.038556114,1.4209043,685.0,-1.686000034213066,-1.686000034213066,1.0
245000,-0.052200586,1.4206389,670.0,-1.1710000522434711,-1.1710000522434711,1.0
246000,-0.014641585,1.420407,965.0,-1.9660000912845135,-1.9660000912845135,1.0
247000,-0.0045146514,1.4201605,None,None,None,1.0
248000,-0.025180526,1.4203504,767.0,-1.7680000439286232,-1.7680000439286232,1.0
249000,-0.050048135,1.420604,781.6666666666666,-1.4493334243694942,-1.4493334243694942,1.0
250000,-0.041658975,1.4203306,443.2,-1.2442000299692153,-1.2442000299692153,1.0
251000,-0.024127545,1.4199162,259.0,-1.260000079870224,-1.260000079870224,1.0
252000,-0.050646823,1.4198556,214.0,-1.2150000110268593,-1.2150000110268593,1.0
253000,-0.039519005,1.4198058,530.0,-1.5310000777244568,-1.5310000777244568,1.0
254000,-0.06116982,1.4198171,386.5,-1.3875000663101673,-1.3875000663101673,1.0
255000,-0.0006891759,1.419895,2999.0,-3.0000001452863216,-3.0000001452863216,1.0
256000,-0.016200114,1.4198925,1011.0,-2.0120000913739204,-2.0120000913739204,1.0
257000,-0.011935463,1.4198306,569.0,-1.5700001120567322,-1.5700001120567322,1.0
258000,-0.021805936,1.4198467,794.0,-1.7950000502169132,-1.7950000502169132,1.0
259000,-0.043733004,1.4200369,737.0,-1.7380000725388527,-1.7380000725388527,1.0
260000,-0.021704149,1.4200605,487.0,-1.4879999831318855,-1.4879999831318855,1.0
261000,-0.04770124,1.4203513,442.3333333333333,-1.4433334196607273,-1.4433334196607273,1.0
262000,-0.028223246,1.420351,355.0,-1.3560000285506248,-1.3560000285506248,1.0
263000,-0.06172019,1.4205799,555.0,-1.5560000936190288,-1.5560000936190288,1.0
264000,-0.06968282,1.420617,447.0,-1.4480000634988148,-1.4480000634988148,1.0
265000,-0.0042109466,1.4208375,141.0,-1.142000064253807,-1.142000064253807,1.0
266000,-0.017066028,1.4208926,468.0,-1.4690000489354134,-1.4690000489354134,1.0
267000,-0.026773486,1.4210883,327.5,-1.3285000547766685,-1.3285000547766685,1.0
268000,-0.046295792,1.4211177,1083.0,-2.0840001069009304,-2.0840001069009304,1.0
269000,-0.031043712,1.4212766,606.0,-1.2810000516474247,-1.2810000516474247,1.0
270000,-0.068585604,1.4213645,456.0,-1.6575000751763582,-1.6575000751763582,1.0
271000,-0.012486428,1.4214478,None,None,None,1.0
272000,-0.011650498,1.421505,None,None,None,1.0
273000,-0.05541998,1.4215363,558.6666666666666,-1.5596667304635048,-1.5596667304635048,1.0
274000,-0.061149318,1.4215566,474.0,-1.141666700442632,-1.141666700442632,1.0
275000,-0.061348945,1.4217743,653.3333333333334,-0.633999940007925,-0.633999940007925,1.0
276000,-0.08291155,1.422018,347.0,-1.1415000464767218,-1.1415000464767218,1.0
277000,-0.027354008,1.4220338,413.0,-1.4140001088380814,-1.4140001088380814,1.0
278000,-0.0055193687,1.4220371,None,None,None,1.0
279000,-0.014614042,1.422063,319.6666666666667,-1.3206667552391689,-1.3206667552391689,1.0
280000,-0.009275591,1.4222076,None,None,None,1.0
281000,-0.0076963212,1.4222109,253.0,-1.2540000453591347,-1.2540000453591347,1.0
282000,-0.041022375,1.4222336,757.0,-1.758000049740076,-1.758000049740076,1.0
283000,-0.046754085,1.422248,690.0,-1.1910000294446945,-1.1910000294446945,1.0
284000,-0.014404083,1.422362,617.0,-0.6179999113082886,-0.6179999113082886,1.0
285000,0.00076046214,1.4223659,None,None,None,1.0
286000,-0.018337693,1.4223585,203.5,-1.2045000605285168,-1.2045000605285168,1.0
287000,-0.02867065,1.4223585,1112.0,-2.1130001470446587,-2.1130001470446587,1.0
288000,-0.025288723,1.4223455,685.6666666666666,-1.3533334185679753,-1.3533334185679753,1.0
289000,-0.06605843,1.4223405,529.6666666666666,-1.5306667685508728,-1.5306667685508728,1.0
290000,-0.06702249,1.4223117,378.5,-1.379500050097704,-1.379500050097704,1.0
291000,-0.04224012,1.4223033,607.5,-1.6085000559687614,-1.6085000559687614,1.0
292000,-0.056424372,1.4223319,345.0,-1.3460000678896904,-1.3460000678896904,1.0
293000,-0.037647236,1.4223424,304.0,-1.3050000369548798,-1.3050000369548798,1.0
294000,-0.044577237,1.4223437,355.5,-1.3565000519156456,-1.3565000519156456,1.0
295000,-0.021615531,1.4223434,None,None,None,1.0
296000,-0.06856463,1.4223493,337.6666666666667,-1.3386667594313622,-1.3386667594313622,1.0
297000,-0.02585398,1.4223539,1559.0,-2.5600001215934753,-2.5600001215934753,1.0
298000,-0.03138803,1.4223461,788.0,-1.2890000380575657,-1.2890000380575657,1.0
299000,-0.009388336,1.4223398,None,None,None,1.0
300000,-0.03203892,1.4223388,1004.0,-1.5050001256167889,-1.5050001256167889,1.0
