Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189383,4.0,0.0770873,2.5125599499024337e-05,2.5125599499024337e-05,1.0
2000,1.4189383,4.0,-0.006661197,-0.005000000353902578,-0.005000000353902578,1.0
3000,1.4180909,4.0,0.016592948,-0.005000000353902578,-0.005000000353902578,1.0
4000,1.4178638,4.0,0.05979708,-0.005000000353902578,-0.005000000353902578,1.0
5000,1.4123203,4.0,0.045923103,-0.005000000353902578,-0.005000000353902578,1.0
6000,1.4107668,4.0,0.09550421,-0.005000000353902578,-0.005000000353902578,1.0
7000,1.4069258,4.0,0.1618615,-0.005000000353902578,-0.005000000353902578,1.0
8000,1.4056866,4.0,0.109117545,-0.005000000353902578,-0.005000000353902578,1.0
9000,1.4030477,4.0,0.18158318,-0.005000000353902578,-0.005000000353902578,1.0
10000,1.4018385,4.0,0.17807657,-0.005000000353902578,-0.005000000353902578,1.0
11000,1.3990139,4.0,0.17023385,-0.005000000353902578,-0.005000000353902578,1.0
12000,1.3973547,4.0,0.24713443,-0.005000000353902578,-0.005000000353902578,1.0
13000,1.3944284,4.0,0.2678624,-0.005000000353902578,-0.005000000353902578,1.0
14000,1.392317,4.0,0.24438103,-3.2829120755195616e-10,-3.2829120755195616e-10,1.0
15000,1.3894533,4.0,0.2700702,-0.005000000353902578,-0.005000000353902578,1.0
16000,1.3870493,4.0,0.29039362,-0.005000000353902578,-0.005000000353902578,1.0
17000,1.3852297,4.0,0.3568995,-0.005000000353902578,-0.005000000353902578,1.0
18000,1.3833015,4.0,0.26563737,-0.005000000353902578,-0.005000000353902578,1.0
19000,1.3833538,4.0,0.39831775,-3.2829120755195616e-10,-3.2829120755195616e-10,1.0
20000,1.3834177,4.0,0.3491436,-0.005000000353902578,-0.005000000353902578,1.0
21000,1.3832406,4.0,0.4401854,-0.005000000353902578,-0.005000000353902578,1.0
22000,1.3829774,4.0,0.4106573,-0.005000000353902578,-0.005000000353902578,1.0
23000,1.3827627,4.0,0.39881355,-0.005000000353902578,-0.005000000353902578,1.0
24000,1.3822612,4.0,0.4582885,-0.005000000353902578,-0.005000000353902578,1.0
